                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.72859,                0.84847,                 2.2662,                0.96876,                0.97066,                0.98447,                0.87192,                0.54749,                0.36004,                 2.0712,              0.0055648,              0.0055648,              0.0055648
                    114,                0.73363,                0.85021,                 2.2728,                0.96912,                0.97091,                0.98417,                0.87163,                0.54748,                0.36026,                 2.0701,              0.0055252,              0.0055252,              0.0055252
                    115,                0.72929,                0.85488,                 2.2686,                0.96924,                0.97063,                 0.9834,                 0.8706,                0.54743,                0.35973,                 2.0686,              0.0054856,              0.0054856,              0.0054856
                    116,                0.72482,                 0.8448,                 2.2624,                0.96893,                0.97083,                0.98246,                0.86988,                0.54768,                0.35812,                 2.0686,               0.005446,               0.005446,               0.005446
                    117,                0.72943,                0.85148,                   2.27,                0.96932,                 0.9705,                0.98229,                  0.871,                  0.549,                0.35833,                 2.0697,              0.0054064,              0.0054064,              0.0054064
                    118,                0.72116,                0.84016,                 2.2706,                0.97002,                0.97018,                 0.9825,                0.87102,                0.54794,                0.35609,                 2.0677,              0.0053668,              0.0053668,              0.0053668
                    119,                0.72017,                0.83441,                 2.2466,                0.97117,                0.96967,                0.98202,                 0.8712,                0.54923,                0.35775,                 2.0682,              0.0053272,              0.0053272,              0.0053272
                    120,                0.72594,                0.83957,                 2.2626,                0.97187,                0.96915,                0.98237,                0.87065,                0.54913,                0.35713,                 2.0669,              0.0052876,              0.0052876,              0.0052876
                    121,                0.72422,                 0.8318,                 2.2795,                0.97209,                0.96929,                0.98301,                 0.8721,                0.54917,                0.35611,                 2.0662,               0.005248,               0.005248,               0.005248
                    122,                 0.7241,                0.83508,                 2.2769,                0.97231,                0.96925,                 0.9826,                0.87195,                0.54954,                0.35658,                 2.0661,              0.0052084,              0.0052084,              0.0052084
                    123,                0.72199,                0.83753,                 2.2509,                0.97247,                0.96941,                0.98245,                0.87272,                0.55034,                0.35643,                 2.0659,              0.0051688,              0.0051688,              0.0051688
                    124,                0.71872,                0.82604,                 2.2559,                 0.9723,                0.96974,                0.98243,                 0.8724,                0.55096,                0.35617,                 2.0656,              0.0051292,              0.0051292,              0.0051292
                    125,                 0.7222,                0.83474,                 2.2621,                0.97462,                 0.9675,                0.98246,                0.87309,                0.55093,                0.35618,                 2.0649,              0.0050896,              0.0050896,              0.0050896
                    126,                0.71935,                0.83139,                 2.2478,                0.97487,                0.96723,                0.98217,                0.87379,                0.55106,                0.35583,                 2.0642,                0.00505,                0.00505,                0.00505
                    127,                 0.7121,                 0.8114,                 2.2487,                 0.9749,                0.96768,                0.98192,                0.87315,                0.55129,                0.35562,                 2.0644,              0.0050104,              0.0050104,              0.0050104
                    128,                0.71168,                0.80236,                 2.2508,                0.97493,                0.96733,                0.98184,                0.87258,                0.55152,                0.35506,                 2.0646,              0.0049708,              0.0049708,              0.0049708
                    129,                0.71321,                0.81349,                 2.2458,                0.97489,                 0.9678,                0.98183,                0.87158,                0.55183,                0.35485,                 2.0646,              0.0049312,              0.0049312,              0.0049312
                    130,                0.71178,                0.81086,                 2.2376,                0.97541,                0.96891,                0.98172,                0.87189,                0.55186,                0.35442,                 2.0644,              0.0048916,              0.0048916,              0.0048916
                    131,                 0.7119,                0.80846,                 2.2528,                0.97571,                0.96878,                0.98209,                 0.8723,                0.55154,                0.35427,                 2.0642,               0.004852,               0.004852,               0.004852
                    132,                0.71565,                0.82134,                 2.2623,                0.97563,                0.96837,                0.98212,                0.87233,                0.55141,                0.35405,                  2.064,              0.0048124,              0.0048124,              0.0048124
                    133,                0.71524,                0.80416,                 2.2606,                0.97613,                0.96798,                0.98217,                0.87312,                0.55132,                0.35397,                 2.0636,              0.0047728,              0.0047728,              0.0047728
                    134,                0.70951,                0.80031,                  2.257,                0.97558,                0.96774,                0.98217,                0.87343,                0.55137,                0.35337,                 2.0637,              0.0047332,              0.0047332,              0.0047332
                    135,                0.70865,                0.79791,                 2.2568,                0.97587,                0.96741,                0.98224,                0.87182,                0.55106,                0.35281,                 2.0635,              0.0046936,              0.0046936,              0.0046936
                    136,                 0.7055,                 0.7964,                 2.2428,                0.97593,                0.96716,                0.98227,                0.87189,                0.55102,                0.35238,                  2.063,               0.004654,               0.004654,               0.004654
                    137,                0.71077,                0.80112,                 2.2375,                0.97633,                 0.9652,                0.98211,                0.87091,                0.55093,                0.35201,                 2.0627,              0.0046144,              0.0046144,              0.0046144
                    138,                 0.7053,                0.78254,                 2.2375,                0.97699,                0.96498,                0.98206,                0.87115,                0.55093,                0.35201,                 2.0626,              0.0045748,              0.0045748,              0.0045748
                    139,                0.71762,                0.80935,                 2.2617,                0.97736,                0.96469,                0.98204,                 0.8706,                0.55114,                0.35154,                 2.0626,              0.0045352,              0.0045352,              0.0045352
                    140,                0.70319,                0.77961,                 2.2414,                0.97754,                 0.9643,                0.98257,                0.87172,                0.55101,                 0.3514,                 2.0616,              0.0044956,              0.0044956,              0.0044956
                    141,                0.70631,                0.78401,                 2.2392,                0.97805,                0.96404,                0.98249,                0.87239,                0.55071,                0.35145,                 2.0611,               0.004456,               0.004456,               0.004456
                    142,                0.70503,                0.78225,                  2.242,                0.97841,                0.96387,                0.98249,                0.87205,                0.55074,                0.35104,                 2.0606,              0.0044164,              0.0044164,              0.0044164
                    143,                0.70246,                 0.7776,                 2.2442,                0.97867,                0.96379,                 0.9825,                 0.8718,                0.55078,                 0.3506,                  2.061,              0.0043768,              0.0043768,              0.0043768
                    144,                0.70166,                0.77647,                 2.2321,                0.97896,                0.96376,                0.98245,                0.87193,                0.55084,                0.35004,                 2.0608,              0.0043372,              0.0043372,              0.0043372
                    145,                0.70088,                 0.7777,                 2.2233,                0.97917,                0.96371,                0.98249,                0.87157,                0.55062,                0.34966,                 2.0598,              0.0042976,              0.0042976,              0.0042976
                    146,                0.70424,                 0.7738,                 2.2207,                0.97945,                0.96368,                0.98256,                0.87137,                0.55057,                0.34929,                 2.0594,               0.004258,               0.004258,               0.004258
                    147,                0.69956,                0.77037,                 2.2417,                0.97958,                0.96366,                0.98264,                0.87171,                0.55049,                0.34931,                  2.059,              0.0042184,              0.0042184,              0.0042184
                    148,                0.70589,                0.77826,                 2.2324,                0.97962,                0.96373,                0.98266,                0.87163,                0.55065,                0.34918,                 2.0591,              0.0041788,              0.0041788,              0.0041788
                    149,                0.69555,                0.76684,                 2.2387,                0.97975,                0.96376,                0.98267,                0.87154,                0.55055,                0.34901,                 2.0593,              0.0041392,              0.0041392,              0.0041392
                    150,                0.69342,                0.75853,                 2.2324,                0.97997,                0.96379,                0.98218,                0.87118,                0.55046,                0.34892,                  2.059,              0.0040996,              0.0040996,              0.0040996
                    151,                0.69442,                 0.7659,                 2.2294,                0.98017,                0.96379,                0.98217,                0.87085,                0.55047,                0.34863,                 2.0591,                0.00406,                0.00406,                0.00406
                    152,                0.70105,                0.77029,                 2.2403,                0.98016,                0.96382,                0.98196,                 0.8706,                0.55056,                0.34838,                 2.0592,              0.0040204,              0.0040204,              0.0040204
                    153,                0.68956,                0.75716,                 2.2279,                0.98019,                0.96378,                  0.982,                0.87067,                0.55055,                0.34829,                  2.059,              0.0039808,              0.0039808,              0.0039808
                    154,                0.69234,                0.75603,                 2.2184,                0.98034,                0.96376,                  0.982,                0.87046,                0.55081,                 0.3481,                 2.0592,              0.0039412,              0.0039412,              0.0039412
                    155,                 0.6952,                0.76162,                 2.2128,                0.98041,                0.96373,                0.98212,                0.87133,                0.55105,                0.34816,                 2.0593,              0.0039016,              0.0039016,              0.0039016
                    156,                0.69169,                 0.7545,                 2.2161,                0.98039,                0.96366,                0.98211,                0.87115,                0.55108,                0.34825,                 2.0592,               0.003862,               0.003862,               0.003862
                    157,                0.69203,                0.76124,                 2.2122,                0.98039,                0.96368,                 0.9821,                0.87126,                0.55116,                0.34786,                 2.0592,              0.0038224,              0.0038224,              0.0038224
                    158,                0.68009,                0.74162,                   2.21,                0.98057,                0.96369,                0.98211,                0.87116,                0.55116,                0.34766,                 2.0589,              0.0037828,              0.0037828,              0.0037828
                    159,                0.68754,                 0.7554,                 2.2182,                0.98055,                0.96374,                0.98216,                0.87105,                0.55111,                 0.3474,                 2.0587,              0.0037432,              0.0037432,              0.0037432
                    160,                0.68773,                0.74004,                 2.2222,                0.98053,                0.96379,                0.98211,                0.87091,                0.55115,                0.34707,                 2.0585,              0.0037036,              0.0037036,              0.0037036
                    161,                0.68316,                0.74278,                 2.2038,                0.98059,                0.96377,                0.98225,                0.87147,                0.55125,                0.34692,                 2.0582,               0.003664,               0.003664,               0.003664
                    162,                0.68961,                0.74435,                 2.2195,                0.98064,                 0.9638,                0.98187,                0.87094,                0.55131,                0.34708,                 2.0582,              0.0036244,              0.0036244,              0.0036244
                    163,                0.67965,                0.72976,                 2.2091,                0.98067,                0.96381,                0.98205,                0.87079,                0.55137,                0.34689,                  2.058,              0.0035848,              0.0035848,              0.0035848
                    164,                0.67941,                0.73306,                 2.2129,                0.98069,                0.96369,                0.98215,                0.87069,                 0.5513,                 0.3468,                 2.0579,              0.0035452,              0.0035452,              0.0035452
                    165,                0.68075,                0.73972,                 2.2004,                0.98076,                 0.9636,                0.98196,                 0.8701,                0.55142,                0.34671,                 2.0578,              0.0035056,              0.0035056,              0.0035056
                    166,                 0.6802,                0.72888,                 2.2141,                0.98091,                0.96354,                0.98217,                0.87082,                0.55144,                0.34686,                 2.0578,               0.003466,               0.003466,               0.003466
                    167,                0.67477,                0.72595,                 2.1972,                0.98092,                 0.9636,                0.98217,                0.87066,                0.55144,                0.34687,                 2.0579,              0.0034264,              0.0034264,              0.0034264
                    168,                0.67613,                0.72051,                 2.2154,                0.98113,                0.96357,                0.98198,                0.87049,                 0.5514,                0.34678,                  2.058,              0.0033868,              0.0033868,              0.0033868
                    169,                0.67471,                0.72514,                 2.2106,                 0.9813,                0.96358,                0.98193,                0.87012,                0.55146,                0.34666,                 2.0581,              0.0033472,              0.0033472,              0.0033472
                    170,                0.67343,                0.71866,                 2.2011,                0.98137,                0.96349,                0.98193,                0.86974,                0.55158,                0.34679,                 2.0582,              0.0033076,              0.0033076,              0.0033076
                    171,                 0.6778,                0.72783,                 2.2221,                0.98119,                0.96347,                0.98194,                0.87021,                0.55159,                0.34694,                 2.0583,               0.003268,               0.003268,               0.003268
                    172,                0.67541,                0.72091,                 2.1924,                0.98114,                 0.9634,                0.98178,                0.86988,                0.55156,                0.34711,                 2.0581,              0.0032284,              0.0032284,              0.0032284
                    173,                0.67419,                0.72017,                 2.2001,                0.98108,                0.96343,                0.98179,                0.87044,                0.55162,                0.34685,                 2.0578,              0.0031888,              0.0031888,              0.0031888
                    174,                0.67188,                0.71758,                 2.2051,                0.98094,                0.96347,                0.98179,                0.87032,                0.55162,                0.34685,                 2.0575,              0.0031492,              0.0031492,              0.0031492
                    175,                0.66831,                0.71114,                 2.1923,                0.98077,                0.96338,                0.98147,                0.87062,                0.55161,                0.34693,                 2.0572,              0.0031096,              0.0031096,              0.0031096
                    176,                 0.6761,                0.71868,                 2.2142,                0.98071,                0.96327,                0.98146,                0.87033,                0.55176,                0.34697,                 2.0572,                0.00307,                0.00307,                0.00307
                    177,                0.66925,                0.71432,                  2.195,                0.97887,                0.96186,                0.98143,                0.87064,                 0.5518,                0.34718,                 2.0571,              0.0030304,              0.0030304,              0.0030304
                    178,                0.66822,                0.70126,                 2.1952,                0.97874,                0.96187,                0.98148,                0.87086,                0.55191,                0.34698,                 2.0571,              0.0029908,              0.0029908,              0.0029908
                    179,                0.66783,                0.70528,                 2.1996,                 0.9787,                0.96185,                0.98148,                0.87094,                0.55196,                0.34696,                 2.0569,              0.0029512,              0.0029512,              0.0029512
                    180,                0.66788,                0.71117,                 2.1888,                0.97849,                 0.9619,                0.98139,                0.87089,                0.55203,                0.34696,                 2.0567,              0.0029116,              0.0029116,              0.0029116
                    181,                0.67137,                0.70996,                 2.2105,                0.97836,                0.96191,                0.98132,                0.87124,                  0.552,                0.34712,                 2.0568,               0.002872,               0.002872,               0.002872
                    182,                0.66648,                0.70024,                 2.1897,                0.97829,                0.96189,                0.98132,                0.87132,                0.55202,                 0.3472,                 2.0567,              0.0028324,              0.0028324,              0.0028324
                    183,                0.66698,                 0.7043,                 2.1961,                0.97819,                0.96184,                0.98136,                0.87135,                0.55199,                0.34737,                 2.0565,              0.0027928,              0.0027928,              0.0027928
                    184,                0.66975,                0.70741,                 2.1962,                0.97806,                0.96189,                0.98142,                0.87142,                0.55218,                0.34723,                 2.0563,              0.0027532,              0.0027532,              0.0027532
                    185,                0.66317,                0.69267,                 2.1978,                0.97805,                0.96186,                0.98141,                0.87165,                0.55226,                0.34722,                 2.0561,              0.0027136,              0.0027136,              0.0027136
                    186,                0.65922,                0.68919,                 2.1919,                0.97802,                0.96181,                 0.9814,                0.87167,                 0.5522,                0.34744,                 2.0559,               0.002674,               0.002674,               0.002674
                    187,                0.65757,                0.68852,                 2.1857,                0.97801,                0.96175,                0.98134,                0.87156,                0.55223,                0.34748,                  2.056,              0.0026344,              0.0026344,              0.0026344
                    188,                0.66426,                0.70236,                  2.195,                0.97799,                0.96172,                0.98134,                0.87116,                0.55228,                0.34745,                  2.056,              0.0025948,              0.0025948,              0.0025948
                    189,                0.66497,                0.69252,                 2.1974,                0.97801,                0.96167,                0.98134,                0.87108,                0.55226,                0.34753,                  2.056,              0.0025552,              0.0025552,              0.0025552
                    190,                0.65315,                0.68112,                  2.177,                0.97806,                0.96168,                 0.9813,                0.87115,                0.55214,                0.34756,                  2.056,              0.0025156,              0.0025156,              0.0025156
                    191,                 0.6534,                0.67835,                 2.1801,                0.97808,                0.96168,                0.98137,                0.87109,                0.55212,                0.34782,                 2.0559,               0.002476,               0.002476,               0.002476
                    192,                0.65817,                0.68331,                 2.1872,                0.97807,                0.96168,                 0.9813,                0.87121,                0.55206,                0.34782,                 2.0558,              0.0024364,              0.0024364,              0.0024364
                    193,                0.65505,                 0.6871,                 2.1925,                0.97808,                0.96165,                0.98128,                0.87121,                0.55197,                 0.3479,                 2.0556,              0.0023968,              0.0023968,              0.0023968
                    194,                0.65859,                0.68453,                 2.1978,                0.97808,                0.96158,                0.98125,                0.87088,                0.55191,                0.34795,                 2.0554,              0.0023572,              0.0023572,              0.0023572
                    195,                0.65537,                0.68275,                 2.1759,                0.97808,                0.96149,                0.98124,                0.87076,                0.55197,                0.34807,                 2.0554,              0.0023176,              0.0023176,              0.0023176
                    196,                0.64661,                0.66771,                 2.1683,                0.97807,                0.96146,                0.98125,                0.87009,                0.55203,                 0.3482,                 2.0553,               0.002278,               0.002278,               0.002278
                    197,                0.65012,                0.67333,                 2.1813,                0.97795,                0.96154,                0.98121,                0.87047,                0.55206,                0.34812,                 2.0553,              0.0022384,              0.0022384,              0.0022384
                    198,                0.65396,                0.68025,                 2.1755,                0.97795,                0.96152,                0.98121,                0.87074,                0.55214,                0.34804,                 2.0555,              0.0021988,              0.0021988,              0.0021988
                    199,                0.64789,                0.67086,                 2.1659,                0.97794,                0.96149,                0.98125,                0.87083,                0.55225,                0.34798,                 2.0556,              0.0021592,              0.0021592,              0.0021592
                    200,                0.64646,                0.66594,                 2.1629,                0.97792,                0.96138,                0.98126,                0.87076,                0.55227,                0.34809,                 2.0554,              0.0021196,              0.0021196,              0.0021196
                    201,                0.64967,                0.66979,                 2.1833,                0.97783,                0.96141,                0.98113,                 0.8708,                0.55229,                0.34813,                 2.0555,                0.00208,                0.00208,                0.00208
                    202,                0.64452,                0.66619,                 2.1718,                0.97798,                0.96124,                0.98106,                0.87078,                0.55236,                0.34818,                 2.0556,              0.0020404,              0.0020404,              0.0020404
                    203,                0.64776,                0.66053,                 2.1835,                0.97786,                0.96122,                0.98111,                0.87072,                0.55237,                0.34825,                 2.0556,              0.0020008,              0.0020008,              0.0020008
                    204,                0.64413,                0.66646,                 2.1812,                0.97789,                0.96113,                0.98106,                0.87073,                0.55242,                0.34825,                 2.0557,              0.0019612,              0.0019612,              0.0019612
                    205,                0.64446,                0.65881,                 2.1735,                0.97789,                0.96108,                0.98106,                0.87049,                0.55244,                0.34808,                 2.0557,              0.0019216,              0.0019216,              0.0019216
                    206,                0.64042,                0.65011,                 2.1543,                0.97791,                0.96104,                0.98097,                0.87019,                0.55245,                0.34803,                 2.0556,               0.001882,               0.001882,               0.001882
                    207,                 0.6378,                0.65279,                 2.1517,                0.97792,                0.96103,                0.98126,                0.87055,                0.55262,                0.34788,                 2.0557,              0.0018424,              0.0018424,              0.0018424
                    208,                0.64125,                0.66147,                 2.1667,                0.97793,                0.96099,                 0.9812,                0.87039,                0.55266,                0.34798,                  2.056,              0.0018028,              0.0018028,              0.0018028
                    209,                0.63885,                 0.6478,                 2.1568,                 0.9778,                  0.961,                 0.9812,                 0.8704,                0.55263,                0.34809,                  2.056,              0.0017632,              0.0017632,              0.0017632
                    210,                0.63569,                0.64949,                 2.1704,                0.97777,                0.96099,                 0.9811,                0.87009,                 0.5526,                0.34807,                 2.0559,              0.0017236,              0.0017236,              0.0017236
                    211,                0.63825,                0.65345,                  2.177,                0.97776,                0.96096,                0.98126,                0.86981,                0.55257,                0.34813,                 2.0561,               0.001684,               0.001684,               0.001684
                    212,                0.63495,                0.64236,                 2.1726,                0.97778,                0.96092,                 0.9811,                0.86958,                0.55256,                0.34808,                  2.056,              0.0016444,              0.0016444,              0.0016444
                    213,                0.63011,                0.64622,                 2.1646,                0.97791,                0.96082,                0.98111,                0.86962,                0.55276,                0.34769,                 2.0561,              0.0016048,              0.0016048,              0.0016048
                    214,                0.62865,                0.64002,                 2.1609,                0.97803,                0.96076,                0.98112,                0.86975,                0.55273,                0.34762,                 2.0558,              0.0015652,              0.0015652,              0.0015652
                    215,                0.63157,                0.63393,                 2.1525,                0.97806,                0.96074,                0.98112,                0.86973,                0.55279,                0.34746,                 2.0559,              0.0015256,              0.0015256,              0.0015256
                    216,                0.62524,                0.62438,                 2.1598,                0.97809,                0.96075,                0.98111,                0.86966,                0.55275,                0.34726,                 2.0559,               0.001486,               0.001486,               0.001486
                    217,                0.63456,                 0.6392,                  2.175,                0.97812,                0.96075,                0.98105,                0.86953,                0.55277,                0.34693,                 2.0558,              0.0014464,              0.0014464,              0.0014464
                    218,                0.62789,                0.62473,                 2.1542,                0.97813,                0.96076,                0.98104,                0.86951,                0.55285,                0.34682,                 2.0557,              0.0014068,              0.0014068,              0.0014068
                    219,                0.62975,                0.63453,                 2.1492,                0.97813,                0.96078,                  0.981,                0.86941,                0.55284,                0.34695,                 2.0558,              0.0013672,              0.0013672,              0.0013672
                    220,                0.62555,                0.62219,                 2.1516,                0.97813,                0.96079,                  0.981,                0.86934,                0.55274,                0.34706,                 2.0559,              0.0013276,              0.0013276,              0.0013276
                    221,                0.62377,                0.61963,                 2.1467,                0.97826,                0.96072,                0.98099,                0.86946,                0.55249,                0.34726,                 2.0559,               0.001288,               0.001288,               0.001288
                    222,                0.62703,                 0.6204,                 2.1526,                0.97828,                0.96073,                 0.9809,                0.86943,                0.55249,                 0.3472,                 2.0559,              0.0012484,              0.0012484,              0.0012484
                    223,                0.62601,                0.62676,                 2.1451,                0.97829,                 0.9607,                0.98088,                0.86984,                 0.5525,                0.34728,                 2.0559,              0.0012088,              0.0012088,              0.0012088
                    224,                0.62575,                0.62726,                  2.148,                0.97823,                0.96073,                0.98076,                0.86984,                0.55246,                0.34738,                 2.0557,              0.0011692,              0.0011692,              0.0011692
                    225,                0.62402,                0.62704,                 2.1412,                0.97751,                 0.9611,                0.98065,                0.87035,                0.55253,                0.34735,                 2.0558,              0.0011296,              0.0011296,              0.0011296
                    226,                0.62005,                0.62308,                 2.1402,                0.97751,                0.96106,                0.98064,                 0.8702,                0.55262,                0.34706,                  2.056,                0.00109,                0.00109,                0.00109
